Funding Cycle,County Name,Visit Type,Item,Variable,Variable Detail,Frequency Count,Percent of Total Frequency,Date Closed,Location
2014-2019,Tioga,Initial visits,Housing information,Units in building,2 units,60,7,10/27/2017,"(42.120252, -76.29595)"
2006-2009,Oneida,Initial visits,Housing condition,Improperly stored flammables,Unknown,38,5,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Niagara,Initial visits,Housing condition,Chemical smell indoors,Unknown,175,5.1,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Schenectady,Initial visits,Housing condition,Working carbon monoxide detector,Yes,804,61.4,10/27/2017,"(42.809233, -73.946838)"
2009-2014,Orange,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,Unknown,97,3.6,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Orange,Revisits,Housing condition,Exits function properly,Yes,186,79.1,10/27/2017,"(41.422459, -74.241929)"
2014-2019,NYC-Bronx,Initial visits,Housing condition,"Rats, evidence or reported",Unknown,11,5,10/27/2017,"(40.85589, -73.868294)"
2014-2019,NYC-Kings,Revisits,Housing condition,Wall-to-wall carpeting or large rugs,No,30,96.8,10/27/2017,"(40.65642, -73.950691)"
2014-2019,Columbia,Initial visits,Respondent demographics,Hispanic ethnicity,Yes,30,7.7,10/27/2017,"(42.276913, -73.682168)"
2014-2019,Tompkins,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,Unknown,6,0.4,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Onondaga,Revisits,Housing condition,Deteriorated paint outside,No,204,78.8,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Niagara,Revisits,Housing condition,Functional fire extinguisher,Yes,610,79.7,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Orange,Revisits,Housing condition,Electrical hazards,Yes,9,3.8,10/27/2017,"(41.422459, -74.241929)"
2009-2014,All counties,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,No,23102,95.4,10/27/2017,
2006-2009,Monroe,Initial visits,Housing condition,Smoking allowed in home,Yes,293,61.6,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Erie,Initial visits,Housing condition,Improperly stored garbage inside,Yes,35,0.9,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Schenectady,Initial visits,Housing information,Age of building,Unknown,141,17,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Schenectady,Initial visits,Housing condition,Deteriorated paint outside,No,183,69.8,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Oneida,Revisits,Housing condition,Functional smoke detector on every floor,Improved,46,22.3,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Schenectady,Revisits,Housing condition,Food/harborage for cockroaches,Improved,4,1.3,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Orange,Initial visits,Housing condition,Improperly stored garbage inside,Unknown,7,0.3,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Niagara,Revisits,Housing condition,Roofing or structural leaks,Improved,10,0.7,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Monroe,Revisits,Housing condition,Functional smoke detector on every floor,Yes,208,90,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Orange,Initial visits,Housing condition,Roofing or structural leaks,Unknown,33,1.2,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Erie,Initial visits,Housing information,Renter/owner,,8,0.3,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Niagara,Revisits,Housing condition,Humidifier or vaporizer used,Unknown,47,3.2,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Monroe,Initial visits,Housing information,Units in building,>5 units,302,16,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Tompkins,Initial visits,Housing condition,Functional fire extinguisher,No,1406,86.7,10/27/2017,"(42.461024, -76.478784)"
2009-2014,Westchester,Initial visits,Housing condition,"Mice, evidence or reported",No,1830,89.5,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Niagara,Revisits,Housing condition,Chemical smell indoors,Unknown,51,8.1,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Niagara,Revisits,Housing condition,Deteriorated paint inside,Not applicable,173,,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Rockland,Initial visits,Housing condition,Residents practice exit drills,Yes,1447,80,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Orange,Revisits,Housing condition,Furnace filter dirty or missing,Unknown,232,98.7,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Cayuga,Revisits,Housing condition,"Mold or mildew, observed or smell",Unknown,43,25.9,10/27/2017,"(42.940095, -76.560755)"
2009-2014,All counties,Initial visits,Housing information,Units in building,2 units,6344,26.2,10/27/2017,
2014-2019,Cortland,Initial visits,Housing condition,"Mold or mildew, observed or smell",Yes,56,6.3,10/27/2017,"(42.597101, -76.143291)"
2009-2014,Clinton,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,Unknown,3,0.1,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Westchester,Revisits,Housing condition,Deteriorated paint outside,Not applicable,54,,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Tompkins,Revisits,Housing condition,Functional fire extinguisher,Improved,450,91.5,10/27/2017,"(42.461024, -76.478784)"
2009-2014,Rockland,Revisits,Housing condition,Electrical hazards,Improved,4,1.6,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Erie,Revisits,Housing condition,Smoke detectors audible from sleeping spaces,Improved,19,2.5,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Westchester,Initial visits,Housing condition,Working carbon monoxide detector,Yes,207,14.1,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Rockland,Initial visits,Respondent demographics,Race: Asian,Asian,29,2.3,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Monroe,Initial visits,Respondent demographics,Race: Native American,Native American,6,0.3,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Onondaga,Initial visits,Housing condition,Functional smoke detectors in common areas,No,424,14.4,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Monroe,Revisits,Housing condition,Furnace filter dirty or missing,Yes,2,0.9,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Rockland,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,Yes,1131,88.4,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Cayuga,Initial visits,Housing condition,Improperly stored garbage near building,No,1,100,10/27/2017,"(42.940095, -76.560755)"
2009-2014,Clinton,Revisits,Housing condition,Improperly stored garbage inside,Yes,6,1.2,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Erie,Revisits,Housing condition,Chemical smell indoors,No,1124,99.9,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Clinton,Initial visits,Respondent demographics,High school diploma or equivalent,No,307,18.9,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Tioga,Initial visits,Housing condition,Functional smoke detector on every floor,Yes,510,59.2,10/27/2017,"(42.120252, -76.29595)"
2014-2019,Tompkins,Revisits,Housing condition,Chemical smell indoors,No,418,99.3,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Columbia,Revisits,Housing condition,Improperly stored garbage near building,Improved,2,2.9,10/27/2017,"(42.276913, -73.682168)"
2009-2014,Onondaga,Revisits,Housing condition,Plumbing leaks,Unknown,2,0.2,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Albany,Initial visits,Housing information,Age of building,Post-1978,163,12.6,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Erie,Revisits,Housing condition,"Mice, evidence or reported",Yes,1,0.1,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Erie,Initial visits,Housing condition,Improperly stored flammables,No,3988,99.7,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Monroe,Initial visits,Housing information,Renter/owner,Own,515,27.4,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Rockland,Revisits,Housing condition,Significant clutter,No,229,91.6,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Albany,Revisits,Housing condition,Significant dust accumulation,Improved,1,0.5,10/27/2017,"(42.678066, -73.814233)"
2009-2014,Monroe,Revisits,Housing condition,"Mold or mildew, observed or smell",Improved,20,3.3,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Erie,Initial visits,Housing condition,Electrical hazards,Yes,6,0.2,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Westchester,Initial visits,Respondent demographics,High school diploma or equivalent,No,378,18.5,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Rockland,Revisits,Housing condition,Improperly stored garbage inside,Yes,2,2.6,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Westchester,Revisits,Housing condition,Smell of scented products,Yes,8,30.8,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Schenectady,Revisits,Housing condition,Improperly stored flammables,No,186,96.9,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Rockland,Initial visits,Housing condition,Working carbon monoxide detector,Unknown,18,2.1,10/27/2017,"(41.127287, -74.017033)"
2014-2019,NYC-Queens,Initial visits,Housing condition,Improperly stored garbage near building,Unknown,1,10,10/27/2017,"(40.749338, -73.789673)"
2006-2009,Schenectady,Initial visits,Respondent demographics,High school diploma or equivalent,Unknown,14,2.4,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Oneida,Revisits,Housing condition,"Mold or mildew, observed or smell",Yes,7,3.4,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Niagara,Revisits,Housing condition,Exits function properly,Yes,758,99.1,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Clinton,Initial visits,Housing condition,Functional fire extinguisher,Yes,471,22.8,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Onondaga,Revisits,Housing condition,Humidifier or vaporizer used,No,261,85,10/27/2017,"(43.065629, -76.168033)"
2006-2009,All counties,Initial visits,Housing condition,Electrical hazards,Unknown,637,4.4,10/27/2017,
2014-2019,Cortland,Initial visits,Housing condition,"Cockroaches, evidence or reported",Unknown,2,0.2,10/27/2017,"(42.597101, -76.143291)"
2014-2019,Tompkins,Initial visits,Housing information,Age of building,Pre-1950,359,24.5,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Niagara,Initial visits,Housing condition,Furnace filter dirty or missing,Yes,436,17.9,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Niagara,Initial visits,Housing condition,Deteriorated paint outside,Unknown,8,0.3,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Clinton,Revisits,Housing condition,Humidifier or vaporizer used,Unknown,2,0.4,10/27/2017,"(44.731944, -73.548883)"
2014-2019,All counties,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,No,25319,93.2,10/27/2017,
2006-2009,Rensselaer,Revisits,Housing condition,Roofing or structural leaks,Unknown,13,8.6,10/27/2017,"(42.70098, -73.628669)"
2006-2009,All counties,Revisits,Housing condition,Residents practice exit drills,No,1177,35.5,10/27/2017,
2006-2009,Schenectady,Revisits,Housing condition,Improperly stored flammables,No,185,97.4,10/27/2017,"(42.809233, -73.946838)"
2009-2014,Erie,Initial visits,Housing condition,"Rats, evidence or reported",No,4008,94.5,10/27/2017,"(42.888143, -78.795544)"
2014-2019,NYC-Bronx,Revisits,Housing condition,Smoke detectors audible from sleeping spaces,No,6,7.3,10/27/2017,"(40.85589, -73.868294)"
2014-2019,NYC-Queens,Revisits,Housing condition,Working carbon monoxide detector,Yes,3,75,10/27/2017,"(40.749338, -73.789673)"
2014-2019,Niagara,Initial visits,Housing condition,Functional smoke detector on every floor,No,261,20,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Monroe,Revisits,Housing condition,Improperly stored garbage inside,Yes,5,0.8,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Clinton,Initial visits,Housing condition,Improperly stored garbage inside,Unknown,31,1.5,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Albany,Initial visits,Housing information,Owner occupied,Yes,142,96.6,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Schenectady,Revisits,Housing condition,Furnace filter dirty or missing,Unknown,189,60.4,10/27/2017,"(42.809233, -73.946838)"
2009-2014,Clinton,Revisits,Housing condition,Deteriorated paint outside,Not applicable,420,,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Cortland,Revisits,Housing condition,Roofing or structural leaks,No,217,93.9,10/27/2017,"(42.597101, -76.143291)"
2009-2014,All counties,Initial visits,Housing condition,Humidifier or vaporizer used,Yes,1765,7.3,10/27/2017,
2006-2009,Monroe,Initial visits,Housing condition,Improperly stored garbage inside,No,959,96.3,10/27/2017,"(43.161748, -77.620143)"
2006-2009,Onondaga,Initial visits,Respondent demographics,Hispanic ethnicity,Yes,148,10.6,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Oneida,Revisits,Housing condition,Electrical hazards,Improved,6,2.8,10/27/2017,"(43.149482, -75.361773)"
2014-2019,All counties,Initial visits,Housing condition,"Mice, evidence or reported",No,22839,84.1,10/27/2017,
2014-2019,Broome,Initial visits,Housing information,Age of building,Pre-1950,609,59.7,10/27/2017,"(42.122015, -75.933191)"
2006-2009,Westchester,Initial visits,Housing condition,Furnace filter dirty or missing,Yes,3,0.2,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Monroe,Initial visits,Housing condition,Deteriorated paint outside,Not applicable,328,,10/27/2017,"(43.161748, -77.620143)"
2006-2009,Niagara,Initial visits,Housing condition,"Rats, evidence or reported",Yes,6,0.2,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Albany,Revisits,Housing condition,Residents practice exit drills,Unknown,39,16.7,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Orange,Initial visits,Housing condition,Improperly stored garbage near building,Yes,193,7.2,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Rockland,Initial visits,Housing information,Age of building,1950-1978,579,67,10/27/2017,"(41.127287, -74.017033)"
2014-2019,All counties,Initial visits,Housing condition,Effective housecleaning,Unknown,894,3.3,10/27/2017,
2006-2009,Niagara,Initial visits,Housing condition,Functional fire extinguisher,No,1496,61.3,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Orange,Initial visits,Housing condition,Significant clutter,Yes,255,9.5,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Tompkins,Revisits,Housing condition,Exits function properly,Unknown,4,1,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Albany,Initial visits,Housing condition,Deteriorated paint outside,Not applicable,284,,10/27/2017,"(42.678066, -73.814233)"
2014-2019,NYC-Bronx,Initial visits,Housing information,Age of building,Unknown,186,85.3,10/27/2017,"(40.85589, -73.868294)"
2009-2014,Monroe,Revisits,Housing condition,Deteriorated paint inside,Yes,210,36.8,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Monroe,Revisits,Housing condition,Improperly stored flammables,No,607,99.5,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Rockland,Initial visits,Housing condition,Humidifier or vaporizer used,Unknown,49,2.7,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Niagara,Revisits,Housing condition,"Rats, evidence or reported",Improved,11,0.7,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Schenectady,Revisits,Housing condition,Malfunctioning appliance that could cause indoor a,No,179,94.2,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Rockland,Revisits,Housing condition,Furnace filter dirty or missing,No,74,94.9,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Oneida,Revisits,Housing condition,Residents practice exit drills,Yes,94,44.3,10/27/2017,"(43.149482, -75.361773)"
2014-2019,All counties,Initial visits,Housing information,Units in building,1 unit,11335,41.7,10/27/2017,
2009-2014,Albany,Initial visits,Housing condition,Functional smoke detectors in common areas,Yes,12,52.2,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Monroe,Initial visits,Housing condition,Residents practice exit drills,No,1210,64.3,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Erie,Initial visits,Housing information,Renter/owner,"Rent, private",2555,60.2,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Albany,Initial visits,Housing condition,"Mice, evidence or reported",Unknown,5,0.7,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Broome,Initial visits,Housing condition,Functional smoke detectors in common areas,No,279,27.4,10/27/2017,"(42.122015, -75.933191)"
2014-2019,Westchester,Revisits,Housing condition,Furnace filter dirty or missing,No,19,73.1,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Cayuga,Revisits,Housing condition,Malfunctioning appliance that could cause indoor a,Unknown,54,32.5,10/27/2017,"(42.940095, -76.560755)"
2014-2019,Broome,Revisits,Housing condition,Food/harborage for cockroaches,Unknown,195,88.2,10/27/2017,"(42.122015, -75.933191)"
2006-2009,Albany,Initial visits,Housing condition,Plumbing leaks,Unknown,9,1.3,10/27/2017,"(42.678066, -73.814233)"
2006-2009,Erie,Initial visits,Housing condition,Smoking allowed in home,Yes,593,78.5,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Clinton,Initial visits,Respondent demographics,High school diploma or equivalent,No,269,30.2,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Schenectady,Revisits,Housing condition,Effective housecleaning,Improved,13,4.2,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Tioga,Initial visits,Housing condition,Deteriorated paint outside,Not applicable,569,,10/27/2017,"(42.120252, -76.29595)"
2014-2019,Monroe,Initial visits,Housing information,Units in building,Unknown,13,0.7,10/27/2017,"(43.161748, -77.620143)"
2006-2009,Schenectady,Initial visits,Housing condition,Improperly stored garbage near building,No,548,93,10/27/2017,"(42.809233, -73.946838)"
2014-2019,All counties,Initial visits,Respondent demographics,Hispanic ethnicity,No,23134,85.2,10/27/2017,
2014-2019,NYC-Manhattan,Initial visits,Housing condition,Every room has ventilation,Yes,42,95.5,10/27/2017,"(40.726966, -74.005966)"
2006-2009,Erie,Revisits,Housing condition,Improperly stored garbage inside,Unknown,2,0.3,10/27/2017,"(42.888143, -78.795544)"
